variant,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-30 04:00:00+00:00,2021-11-30 04:05:00+00:00,4659.2500,2021-11-30 05:16:00+00:00,4635.0089,target,4.8482,4668.9464,4635.0089,24.2411,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-30 07:00:00+00:00,2021-11-30 07:02:00+00:00,4608.0000,2021-11-30 11:02:00+00:00,4604.5000,time_exit,8.1964,4624.3929,4567.0179,3.5000,0.2135
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-30 07:00:00+00:00,2021-11-30 07:05:00+00:00,16304.5000,2021-11-30 11:05:00+00:00,16299.7500,time_exit,25.2991,16253.9018,16430.9955,-4.7500,-0.0939
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-30 15:00:00+00:00,2021-11-30 15:02:00+00:00,16421.0000,2021-11-30 15:50:00+00:00,16249.7054,target,34.2589,16489.5179,16249.7054,171.2946,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-30 15:00:00+00:00,2021-11-30 15:02:00+00:00,4629.7500,2021-11-30 16:00:00+00:00,4580.3304,target,9.8839,4649.5179,4580.3304,49.4196,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-30 15:00:00+00:00,2021-11-30 15:03:00+00:00,16423.7500,2021-11-30 15:37:00+00:00,16355.2321,stop,34.2589,16355.2321,16595.0446,-68.5179,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-30 16:00:00+00:00,2021-11-30 16:02:00+00:00,16125.7500,2021-11-30 20:02:00+00:00,16149.7500,time_exit,49.9420,16225.6339,15876.0402,-24.0000,-0.2403
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-30 23:00:00+00:00,2021-11-30 23:04:00+00:00,16261.2500,2021-12-01 03:04:00+00:00,16317.5000,time_exit,64.0446,16389.3393,15941.0268,-56.2500,-0.4391
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-30 23:00:00+00:00,2021-11-30 23:04:00+00:00,4594.0000,2021-12-01 03:04:00+00:00,4600.0000,time_exit,15.7500,4625.5000,4515.2500,-6.0000,-0.1905
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-30 00:00:00+00:00,2021-11-30 00:03:00+00:00,16431.7500,2021-11-30 04:03:00+00:00,16414.7500,time_exit,26.9866,16485.7232,16296.8170,17.0000,0.3150
