test_year,signal_name,fire_ts,symbol,anchor_side,p_test,y_true,direction_rule
2023,ogap_gap_down_rejection,2023-10-18 22:00:00+00:00,NQ.c.0,gap_down,0.8956,1,fixed_short
2023,ogap_gap_down_rejection,2023-11-02 22:00:00+00:00,NQ.c.0,gap_down,0.9254,1,fixed_short
2023,ogap_gap_down_rejection,2023-11-02 22:00:00+00:00,ES.c.0,gap_down,0.8553,1,fixed_short
2024,ogap_gap_down_rejection,2024-01-07 23:00:00+00:00,YM.c.0,gap_down,0.8674,1,fixed_short
2024,ogap_gap_down_rejection,2024-01-07 23:00:00+00:00,YM.c.0,gap_down,0.8674,1,fixed_short
2024,ogap_gap_down_rejection,2024-01-10 23:00:00+00:00,YM.c.0,gap_down,0.8145,1,fixed_short
2024,ogap_gap_down_rejection,2024-01-24 23:00:00+00:00,NQ.c.0,gap_down,0.8435,1,fixed_short
2024,ogap_gap_down_rejection,2024-01-28 23:00:00+00:00,YM.c.0,gap_down,0.8625,1,fixed_short
2024,ogap_gap_down_rejection,2024-01-28 23:00:00+00:00,YM.c.0,gap_down,0.8625,1,fixed_short
2024,ogap_gap_down_rejection,2024-01-30 23:00:00+00:00,NQ.c.0,gap_down,0.8905,1,fixed_short
2024,ogap_gap_down_rejection,2024-02-01 23:00:00+00:00,NQ.c.0,gap_down,0.8918,1,fixed_short
2024,ogap_gap_down_rejection,2024-02-01 23:00:00+00:00,ES.c.0,gap_down,0.8190,1,fixed_short
2024,ogap_gap_down_rejection,2024-04-14 22:00:00+00:00,NQ.c.0,gap_down,0.8708,0,fixed_short
2024,ogap_gap_down_rejection,2024-04-14 22:00:00+00:00,YM.c.0,gap_down,0.8687,0,fixed_short
2024,ogap_gap_down_rejection,2024-04-14 22:00:00+00:00,NQ.c.0,gap_down,0.8708,0,fixed_short
2024,ogap_gap_down_rejection,2024-04-14 22:00:00+00:00,YM.c.0,gap_down,0.8687,0,fixed_short
2024,ogap_gap_down_rejection,2024-04-24 22:00:00+00:00,NQ.c.0,gap_down,0.8664,1,fixed_short
2024,ogap_gap_down_rejection,2024-04-24 22:00:00+00:00,ES.c.0,gap_down,0.8334,1,fixed_short
2024,ogap_gap_down_rejection,2024-04-30 22:00:00+00:00,NQ.c.0,gap_down,0.8561,1,fixed_short
